,Time,User,Tweet
77,2022-10-13 17:13:13+00:00,DAM_section,일반인으로 살아온지 2n년.. 가이드 일 못 하겠다고 말하려 했는데 이것저것 섞이는 바람에 말은커녕 뭐 하면 되는지 말함. 빠르게 지하로 가는 엘베에 기댐. 차가운 벽이 조금 소름 돋음. 도착했다는 알림음 내며 열리는 문... 소독제 향이 확 밀려 옴.
78,2022-10-13 16:30:52+00:00,Tata_1230_t,"RT @YOUTH_LUV_BTS: 비가 온다면 바닥에 아무렇게 둬도 되는 지퍼 타포린백에 최소한의 짐만 넣고 가는 게 최고.. 휴지는 키친타월

신분증, 아미밤(건전지), 보조배터리(케이블)
양치 도구, 거울, 핸드로션, 소독제, 마스크(여유분)…"
79,2022-10-13 15:17:08+00:00,Kristen84771949,"정떨
베이스트롬본
감정노동
레이스패치
인어공주덕후
홍천주유소
멜섭
낮잠도잊었어요
감성공장어플
현진에버빌
개나리학당_정동원
송은영교수님
좋은디슬픈느낌
부천24시동물병원
영천코로나
유아소독제
관악구호텔
설기
jcn뉴스 https://t.co/ZUsL2o2DQd"
80,2022-10-13 13:16:47+00:00,dy2327,왕엄지 빠져서 일단 집에 있는 소독제로 소독하고 방수 밴드 임시방편으로 붙임... 우짬 쑥하고 빠져부렀는데 다시 끼는 것도 웃기고
81,2022-10-13 13:01:45+00:00,Flower_p_Paul,(손 소독제... 챱.)
82,2022-10-13 10:49:32+00:00,Vandsquare,"방금건 서클에 올리려 했던건데 잘못 올렸다…올린 김에 꿀팁…? 
암튼 분무기로 뿌리는 알코올 소독제가 있다면 날파리에게 뿌려보세요…턺석 떨어집니다 그때 얼른 잡으십쇼"
83,2022-10-13 10:48:20+00:00,namjoon_bts_613,"@hopejjyan_0613 티켓
미밤이
신분증
aaa건전지
물500ml이하
보조배터리
간단한 간식
고무줄
담요나 집업
방석?
여분 마스크
소독제
쓰레기봉투"
84,2022-10-13 09:25:01+00:00,YBlue_Japdeok,"염병 지하철에서 마스크 쓰라고
마스크 벗고 기침해서 잠바에 침 다튐ㅅㅂ 개같네
집에가서 소독제 뿌려야지"
85,2022-10-13 08:39:42+00:00,postshrb,"옷에서...새옷냄새 엄청 난다..
어제 하루종일ㅇ...소독제랑 섬유탈취제 뿌리고 베란다에 내놓은건데.."
86,2022-10-13 07:59:46+00:00,owowowowowowuw,@Party_DJ_ 괜찮으세요?? 손 소독제 바를 때 조심하셔야겠네요...
